"cell_ID"	"FOV"	"cell_types"
"s630"	"2"	"Fibroblast"
"s631"	"1"	"DCSC"
"s632"	"2"	"Paneth-like"
"s633"	"0"	"Paneth-like"
"s634"	"0"	"Paneth-like"
"s635"	"2"	"Macrophage"
"s636"	"2"	"B.cell-IgA"
"s637"	"1"	"Smooth.Muscle"
"s638"	"0"	"DCSC"
"s639"	"0"	"DCSC"
"s640"	"1"	"DCSC"
"s641"	"0"	"DCSC"
"s642"	"1"	"Macrophage"
"s643"	"1"	"B.cell-IgA"
"s644"	"1"	"Fibroblast"
"s645"	"1"	"Stem"
"s646"	"2"	"DCSC"
"s647"	"1"	"DCSC"
"s648"	"0"	"DCSC"
"s649"	"2"	"B.cell-IgG"
"s650"	"0"	"B.cell-IgA"
"s651"	"2"	"B.cell-IgA"
"s652"	"0"	"Stem"
"s653"	"1"	"Stem"
"s654"	"2"	"Stem"
"s655"	"2"	"B.cell-IgA"
"s656"	"1"	"B.cell-IgA"
"s657"	"0"	"B.cell-IgA"
"s658"	"0"	"B.cell-IgA"
"s659"	"0"	"Paneth-like"
"s660"	"1"	"DCSC"
"s661"	"0"	"Paneth-like"
"s662"	"2"	"Paneth-like"
"s663"	"1"	"B.cell-Immature"
"s664"	"1"	"B.cell-IgG"
"s665"	"2"	"Smooth.Muscle"
"s666"	"2"	"B.cell-IgG"
"s667"	"2"	"B.cell-IgA"
"s668"	"2"	"Macrophage"
"s669"	"0"	"Macrophage"
"s670"	"0"	"DCSC"
"s671"	"0"	"DCSC"
"s672"	"1"	"DCSC"
"s673"	"1"	"Paneth-like"
"s674"	"2"	"Stem"
"s675"	"0"	"Macrophage"
"s676"	"1"	"Macrophage"
"s677"	"1"	"Fibroblast"
"s678"	"1"	"DCSC"
"s679"	"2"	"Fibroblast"
"s680"	"0"	"DCSC"
"s681"	"0"	"Paneth-like"
"s682"	"1"	"Paneth-like"
"s683"	"0"	"Paneth-like"
"s684"	"1"	"Macrophage"
"s685"	"2"	"B.cell-IgA"
"s686"	"0"	"Smooth.Muscle"
"s687"	"1"	"Stem"
"s688"	"0"	"DCSC"
"s689"	"1"	"DCSC"
"s690"	"0"	"DCSC"
"s691"	"0"	"Macrophage"
"s692"	"2"	"B.cell-IgA"
"s693"	"0"	"Fibroblast"
"s694"	"2"	"Stem"
"s695"	"1"	"DCSC"
"s696"	"0"	"DCSC"
"s697"	"2"	"DCSC"
"s698"	"1"	"B.cell-IgG"
"s699"	"1"	"B.cell-IgA"
"s700"	"1"	"B.cell-IgA"
"s701"	"2"	"Paneth-like"
"s702"	"1"	"Stem"
"s703"	"2"	"Stem"
"s704"	"0"	"B.cell-IgA"
"s705"	"1"	"B.cell-IgA"
"s706"	"2"	"B.cell-IgA"
"s707"	"1"	"B.cell-IgA"
"s708"	"0"	"Paneth-like"
"s709"	"0"	"DCSC"
"s710"	"1"	"DCSC"
"s711"	"0"	"Paneth-like"
